param_id,simulator,t,coverage,m_per_region,regions_per_t,num_iterations,stop_criterion,atlas_coverage,random_restarts,true_alpha
1,random,25,4,1,80,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]"
2,random,25,4,2,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]"
3,random,25,4,4,20,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]"
4,random,25,4,5,16,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]"
5,random,25,4,8,10,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]"
6,random,25,4,10,8,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]"
7,random,25,4,16,5,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]"
8,random,25,4,20,4,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]"
